---SIMILARITIES VIDEO URL <-> IP BETWEEN DIFFERENT VANTAGE POINTS---
https://youtu.be/05HuTGeF5AA
                              ID                           Url                                                IP      VantagePoint
243   2020-10-29 12:19:41.709639  https://youtu.be/1taLTJPwhCg  [173.194.166.233]                               ip-172-31-14-163
292   2020-10-29 18:19:15.285697  https://youtu.be/1taLTJPwhCg  [173.194.167.169]                               ip-172-31-14-163
341   2020-10-30 00:19:10.357715  https://youtu.be/1taLTJPwhCg  [173.194.167.169]                               ip-172-31-14-163
390   2020-10-30 06:18:53.830377  https://youtu.be/1taLTJPwhCg  [173.194.166.233]                               ip-172-31-14-163
439   2020-10-27 12:21:57.094465  https://youtu.be/1taLTJPwhCg  [172.217.135.41]                                ip-172-31-85-175
488   2020-10-27 18:20:06.754471  https://youtu.be/1taLTJPwhCg  [172.217.135.41]                                ip-172-31-85-175
537   2020-10-28 00:19:34.880988  https://youtu.be/1taLTJPwhCg  [172.217.7.174, 172.217.2.110, 172.217.135.41]  ip-172-31-85-175
586   2020-10-28 06:19:15.138320  https://youtu.be/1taLTJPwhCg  [74.125.155.202]                                ip-172-31-85-175
635   2020-10-29 12:19:00.277895  https://youtu.be/1taLTJPwhCg  [173.194.7.42]                                  ip-172-31-85-175
684   2020-10-29 18:19:03.039703  https://youtu.be/1taLTJPwhCg  [173.194.7.42]                                  ip-172-31-85-175
733   2020-10-30 00:18:29.851925  https://youtu.be/1taLTJPwhCg  [74.125.155.202]                                ip-172-31-85-175
782   2020-10-30 06:19:08.647451  https://youtu.be/1taLTJPwhCg  [74.125.155.202]                                ip-172-31-85-175
831   2020-10-27 12:22:29.179309  https://youtu.be/1taLTJPwhCg  [173.194.188.137]                               ip-172-31-43-135
880   2020-10-27 18:20:38.984563  https://youtu.be/1taLTJPwhCg  [173.194.187.137]                               ip-172-31-43-135
929   2020-10-28 00:19:43.116363  https://youtu.be/1taLTJPwhCg  [173.194.187.137]                               ip-172-31-43-135
978   2020-10-28 06:19:40.748871  https://youtu.be/1taLTJPwhCg  [173.194.187.137]                               ip-172-31-43-135
1027  2020-10-29 12:20:24.901409  https://youtu.be/1taLTJPwhCg  [173.194.188.137]                               ip-172-31-43-135
1076  2020-10-29 18:20:50.672535  https://youtu.be/1taLTJPwhCg  [173.194.188.137]                               ip-172-31-43-135
